"성별","연령(5세)별",2000,2000,2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
"성별","연령(5세)별",사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당),사망 (명),사망률 (십만명당)
"남자","45 - 49세",8250,561.0,8264,517.2,8584,502.7,8676,479.3,8911,463.7,8748,432.7,8622,406.9,8400,382.7,8284,372.5,8079,363.6,7795,354.9,7159,332.0,6872,324.0,6496,304.6,6260,287.3,6141,277.3,5787,256.5,5647,246.1,5653,245.9
"남자","50 - 54세",9494,813.7,9319,773.4,9077,731.2,9251,723.1,9203,694.3,9113,641.1,9468,611.9,9397,566.7,9702,549.2,10484,556.3,10484,527.6,10851,520.4,10595,490.4,10355,473.3,10095,462.1,9381,434.3,8728,411.4,8296,397.3,8127,386.8
"남자","55 - 59세",12497,1237.9,11514,1152.6,10926,1100.8,10031,989.0,10419,980.8,10099,904.9,10274,889.4,10201,854.6,10174,823.5,9899,770.0,10646,770.1,11083,735.4,11365,703.2,11713,680.4,12028,655.0,12010,619.9,12252,602.3,12359,585.7,12347,577.3
"남자","60 - 64세",15648,1882.6,15308,1783.4,15416,1693.4,15293,1610.8,14771,1553.3,13843,1465.6,12549,1336.2,11793,1256.3,11304,1171.3,11612,1143.4,11889,1111.7,12026,1085.5,12006,1047.7,11833,997.0,11610,939.1,12239,919.1,12992,893.6,13059,836.5,13872,833.0
"남자","65세이상",67984,5575.1,68708,5294.2,71228,5166.6,71994,4918.9,74610,4789.3,76660,4636.7,78557,4484.3,80923,4314.1,83075,4168.7,83061,3985.5,87282,4028.3,88788,3944.1,93967,3975.9,94139,3774.6,96016,3660.2,100222,3648.2,102770,3595.5,105642,3525.1,112020,3551.8
"남자","65 - 69세",15698,2883.4,16403,2764.3,16880,2649.2,17395,2568.6,17893,2491.3,17690,2360.8,17504,2249.0,17535,2111.0,17379,1992.7,16435,1869.4,15923,1814.8,14905,1701.6,14258,1620.9,13496,1486.3,13714,1431.5,14103,1395.1,14345,1367.7,14172,1303.4,14568,1290.6
"남자","70 - 74세",15493,4709.7,15726,4554.2,15962,4353.5,16220,4138.4,17010,4032.8,17649,3823.0,18548,3661.0,19003,3470.2,19985,3409.1,19977,3189.7,20638,3139.1,20649,3006.3,21513,2915.2,21203,2721.7,20272,2568.0,19661,2482.5,18776,2362.7,17571,2186.5,17340,2077.0
"남자","75 - 79세",16092,7782.3,15810,7483.1,15787,7303.2,15111,6768.8,15489,6586.9,16032,6414.2,16517,6230.4,17114,6016.6,17348,5640.4,17885,5339.8,19766,5335.4,20849,5089.4,22801,5120.2,23281,4854.5,23863,4624.3,24656,4517.1,24729,4301.7,25446,4082.3,26917,4060.4
"남자","80세이상",20701,14864.7,20769,14049.6,22599,14244.7,23268,13589.7,24218,13256.9,25289,13143.7,25988,12877.0,27271,12799.1,28363,12500.6,28764,11803.3,30955,11842.6,32385,11619.8,35395,11778.8,36159,11044.8,38167,10608.0,41802,10491.2,44920,10213.2,48453,10038.4,53195,10089.4
"남자","80 - 84세",11753,12239.3,11774,11547.5,12558,11483.4,12998,10947.8,13598,10748.9,13814,10493.7,14041,10316.0,14240,10087.1,14314,9684.3,14543,9199.0,15443,9058.3,16155,8833.3,17626,8878.6,18116,8336.7,19281,8051.9,20913,7809.0,23044,7705.7,24679,7521.6,26823,7529.7
